"Dataset","Chemical","CAS","KE1_call","KE2_call","KE3_call","LLNA_call","Misclassified","KE1_metric","KE1_metric__present","KS_call","KS_call__present","LuSens_call","LuSens_call__present","hCLAT_call","hCLAT_call__present","USENS_call","USENS_call__present","LLNA_EC3","LLNA_EC3__present","complete_case"
"ICE","Lactic acid","50-21-5","0.0","0.0","0.0","0.0","0.0","0.65","1","Inactive","1","Inactive","1","Inactive","1","Inactive","1","25.0","1","1"
"ICE","Squaric acid","2892-51-5","1.0","0.0","0.0","1.0","1.0","","0","Inactive","1","","0","","0","Inactive","1","5.699999999999999","1","1"
"ICE","1-Iodohexane","638-45-9","1.0","1.0","1.0","0.0","1.0","","0","Active","1","","0","Active","1","Inactive","1","","0","1"
"ICE","Tropolone","533-75-5","1.0","1.0","1.0","1.0","0.0","","0","Active","1","","0","Active","1","","0","4.35","1","1"
"ICE","alpha-Furil","492-94-4","1.0","1.0","0.0","0.0","1.0","","0","Active","1","","0","Inactive","1","","0","","0","1"
"ICE","Farnesol","4602-84-0","0.0","1.0","1.0","1.0","1.0","","0","Active","1","","0","Active","1","Active","1","4.1","1","1"
"ICE","N,N-Dimethylformamide","68-12-2","0.0","0.0","0.0","0.0","0.0","","0","Inactive","1","","0","Inactive","1","","0","100.0","1","1"
"ICE","5-Amino-2-methylphenol","2835-95-2","1.0","1.0","1.0","1.0","0.0","","0","Active","1","","0","","0","Active","1","3.8","1","1"
"ICE","Benzyl salicylate","118-58-1","0.0","1.0","1.0","1.0","1.0","","0","Active","1","","0","Inactive","1","Active","1","2.8499999999999996","1","1"
"ICE","Benzenesulfonic acid, 2,4-dinitro-, sodium salt","885-62-1","1.0","1.0","1.0","1.0","0.0","","0","Active","1","","0","","0","Active","1","2.0","1","1"
"ICE","4-Vinylpyridine","100-43-6","1.0","1.0","1.0","1.0","0.0","","0","Active","1","","0","","0","Active","1","1.6","1","1"
"ICE","4-Acetoxy benzoic acid","2345-34-8","1.0","0.0","0.0","1.0","1.0","","0","Inactive","1","","0","","0","Inactive","1","30.0","1","1"
"ICE","Ethyl acrylate","140-88-5","1.0","1.0","1.0","1.0","0.0","","0","Active","1","Active","1","Inactive","1","Active","1","28.35","1","1"
"ICE","Methyl acrylate","96-33-3","1.0","1.0","1.0","1.0","0.0","","0","Active","1","Active","1","","0","Active","1","19.8","1","1"
"ICE","Squaric acid diethyl ester","5231-87-8","0.0","0.0","0.0","1.0","1.0","","0","Inactive","1","","0","","0","Inactive","1","0.9","1","1"
"ICE","3-Iodo-2-propynyl-N-butylcarbamate","55406-53-6","1.0","1.0","1.0","1.0","0.0","","0","Active","1","","0","Active","1","Active","1","0.9","1","1"
"ICE","Hexahydrophthalic anhydride","85-42-7","1.0","0.0","1.0","1.0","1.0","","0","Inactive","1","","0","","0","Active","1","0.84","1","1"
"ICE","N,N-Dimethyl-4-nitrosoaniline","138-89-6","1.0","1.0","1.0","1.0","0.0","","0","Active","1","","0","","0","Active","1","0.48","1","1"
"ICE","Chloramine-T","127-65-1","1.0","1.0","1.0","1.0","0.0","","0","Active","1","","0","Active","1","","0","0.4","1","1"
"ICE","3-Methyl-1,2-benzenediol","488-17-5","1.0","1.0","1.0","1.0","0.0","","0","Active","1","","0","","0","Active","1","0.02","1","1"
