Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,Misclassified,KE2_conflict,KE3_conflict,KE1_metric,KE1_metric__present,KS_call,KS_call__present,LuSens_call,LuSens_call__present,hCLAT_call,hCLAT_call__present,USENS_call,USENS_call__present,LLNA_call_endpoint,LLNA_call_endpoint__present,LLNA_EPA_call,LLNA_EPA_call__present,LLNA_EC3,LLNA_EC3__present,LLNA_EC3_call,LLNA_call_source,LLNA_call__present,complete_case_option_1,complete_case_option_2,complete_case_option_3,complete_case_option_4,complete_case
ICE,Benzyl cinnamate,103-41-3,0.0,1.0,1.0,1.0,1.0,0,1,,0,Active,1,,0,Inactive,1,Active,1,,0,,0,18.4,1,1.0,EC3,1,0,0,1,0,0
ICE,R-(-)-Carvone,6485-40-1,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,Active,1,Active,1,,0,,0,12.9,1,1.0,EC3,1,0,0,1,1,1
ICE,Methylparaben,99-76-3,0.0,1.0,1.0,,,0,0,,0,Active,1,Active,1,,0,Active,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,2-Methylundecanal,110-41-8,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,,0,,0,10.0,1,1.0,EC3,1,0,0,1,1,1
ICE,3-Chloroanisaldehyde,4903-09-7,1.0,0.0,1.0,,,0,0,,0,Inactive,1,,0,,0,Active,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,Octanenitrile,124-12-9,0.0,0.0,0.0,,,0,0,,0,Inactive,1,,0,,0,Inactive,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,1-(4-Methoxyphenyl)-1-pentene-3-one,104-27-8,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,,0,,0,9.3,1,1.0,EC3,1,0,0,1,1,1
ICE,Methyl methanesulfonate,66-27-3,1.0,1.0,1.0,1.0,0.0,0,1,,0,Active,1,,0,Inactive,1,Active,1,,0,,0,8.1,1,1.0,EC3,1,0,0,1,0,0
ICE,Safranal,116-26-7,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,,0,,0,7.5,1,1.0,EC3,1,0,0,1,1,1
ICE,2-Methoxy-4-propylphenol,2785-87-7,0.0,1.0,,1.0,,0,0,,0,Active,1,,0,,0,,0,,0,,0,6.8,1,1.0,EC3,1,0,0,0,0,0
ICE,10-Undecen-1-al,112-45-8,0.0,1.0,0.0,1.0,1.0,0,0,,0,Active,1,,0,Inactive,1,,0,,0,,0,6.8,1,1.0,EC3,1,0,0,1,1,1
ICE,4-Chloroaniline,106-47-8,0.0,1.0,1.0,,,0,0,,0,Active,1,,0,Active,1,,0,,0,,0,,0,,,0,0,0,0,0,0
ICE,"1,1-Dichloroethylene",75-35-4,0.0,0.0,0.0,,,0,0,,0,Inactive,1,,0,,0,Inactive,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,Diethylenetriamine,111-40-0,0.0,0.0,0.0,1.0,1.0,0,0,,0,Inactive,1,,0,Inactive,1,,0,,0,,0,3.3,1,1.0,EC3,1,0,0,1,1,1
ICE,2-Butoxyethyl acetate,112-07-2,1.0,0.0,0.0,,,0,0,,0,Inactive,1,,0,,0,Inactive,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,2-Methylcinnamic aldehyde,101-39-3,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,Active,1,Active,1,,0,,0,4.5,1,1.0,EC3,1,0,0,1,1,1
ICE,Lactic acid,50-21-5,0.0,0.0,0.0,0.0,0.0,0,0,0.65,1,Inactive,1,Inactive,1,Inactive,1,Inactive,1,0.0,1,,0,25.0,1,1.0,Call,1,1,1,1,1,1
ICE,Squaric acid,2892-51-5,1.0,0.0,0.0,1.0,1.0,0,0,,0,Inactive,1,,0,,0,Inactive,1,1.0,1,,0,5.699999999999999,1,1.0,Call,1,1,0,1,1,1
ICE,1-Iodohexane,638-45-9,1.0,1.0,1.0,0.0,1.0,0,1,,0,Active,1,,0,Active,1,Inactive,1,0.0,1,,0,,0,,Call,1,1,0,1,0,0
ICE,Tropolone,533-75-5,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,Active,1,,0,1.0,1,,0,4.35,1,1.0,Call,1,1,0,1,1,1
ICE,alpha-Furil,492-94-4,1.0,1.0,0.0,0.0,1.0,0,0,,0,Active,1,,0,Inactive,1,,0,0.0,1,,0,,0,,Call,1,1,0,1,1,1
ICE,Farnesol,4602-84-0,0.0,1.0,1.0,1.0,1.0,0,0,,0,Active,1,,0,Active,1,Active,1,1.0,1,,0,4.1,1,1.0,Call,1,1,0,1,1,1
ICE,"N,N-Dimethylformamide",68-12-2,0.0,0.0,0.0,0.0,0.0,0,0,,0,Inactive,1,,0,Inactive,1,,0,0.0,1,,0,100.0,1,1.0,Call,1,1,0,1,1,1
ICE,5-Amino-2-methylphenol,2835-95-2,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,1.0,1,,0,3.8,1,1.0,Call,1,1,0,1,1,1
ICE,2-Fluoro-5-nitroaniline,369-36-8,1.0,1.0,0.0,,,0,0,,0,Active,1,,0,Inactive,1,,0,,0,,0,,0,,,0,0,0,0,0,0
ICE,Ethyl sulfate (Et2SO4),64-67-5,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,Active,1,,0,,0,,0,3.3,1,1.0,EC3,1,0,0,1,1,1
