"Dataset","Chemical","CAS","KE1_call","KE2_call","KE3_call","LLNA_call","KE1_metric","KE1_metric__present","KE2_metric","KE2_metric__present","KE3_metric","KE3_metric__present","LLNA_EC3","LLNA_EC3__present","complete_case"
"SkinSensDB","Jasmine Absolute (Grandiflorum)","8022-96-6;8024-43-9;90045-94-6;84776-64-7","1.0","1.0","1.0","1.0","16.97","1","13.3","1","5.58","1","5.9","1","1"
"SkinSensDB","Octocrylene","6197-30-4","0.0","1.0","1.0","1.0","2.5999999999999996","1","6.79","1","4.2","1","7.7","1","1"
"SkinSensDB","Kanamycin sulfate","70560-51-9","1.0","0.0","0.0","0.0","6.75","1","2000.0","1","200.0","1","0.0","1","1"
"SkinSensDB","Tocopherol","59-02-9","0.0","1.0","0.0","1.0","3.55","1","114.6","1","200.0","1","7.4","1","1"
"SkinSensDB","2,2'-[(4-Aminophenyl)imino]diethanol sulfate (1:1)","54381-16-7","1.0","1.0","1.0","1.0","67.55","1","0.9","1","7.7","1","1.04","1","1"
"SkinSensDB","dihydroxyindole","3131-52-0","1.0","0.0","1.0","1.0","99.6","1","2000.0","1","0.4","1","0.17","1","1"
"SkinSensDB","isatin","91-56-5","1.0","1.0","1.0","1.0","11.45","1","67.0","1","9.9","1","2.5","1","1"
"SkinSensDB","E-1-(2,6,6-trimethyl-3-cyclohexen-1-yl)-2-buten-1-one","24720-09-0","1.0","1.0","1.0","1.0","51.995","1","2.98","1","6.17081073","1","3.3","1","1"
"SkinSensDB","Tetraethylene glycol monotetradecyl ether","39034-24-7","0.0","0.0","1.0","1.0","1.0","1","4000.0","1","23.09","1","2.8","1","1"
"SkinSensDB","Hexaethylene glycol monododecyl ether","3055-96-7","0.0","0.0","1.0","1.0","4.25","1","4000.0","1","15.25","1","7.4","1","1"
"SkinSensDB","Phenol","108-95-2","1.0","0.0","1.0","0.0","8.2","1","2000.0","1","21.7","1","0.0","1","1"
"SkinSensDB","Treemoss","90028-67-4","1.0","1.0","1.0","1.0","60.47","1","1.99","1","7.16","1","2162.5","1","1"
"SkinSensDB","HC BLUE No,2","33229-34-4","1.0","0.0","0.0","1.0","98.3","1","2000.0","1","200.0","1","4.1","1","1"
"SkinSensDB","Diethanolamin","111-42-2","0.0","0.0","1.0","1.0","4.050000000000001","1","2000.0","1","26.0","1","40.0","1","1"
"SkinSensDB","1,5-Dihydroxynaphtalin","83-56-7","0.0","1.0","1.0","1.0","0.0","1","34.24","1","12.7","1","3.4","1","1"
"SkinSensDB","Ylang Ylang","8006-81-3;68606-83-7;83863-30-3","0.0","1.0","1.0","1.0","5.475","1","4.95","1","28.33","1","6.8","1","1"
"SkinSensDB","Hydroxyethyl-p-phenylenediamine sulfate","93841-25-9","1.0","1.0","1.0","1.0","11.8","1","26.11","1","31.94","1","0.57","1","1"
"SkinSensDB","Diphenylmethane diisocyanate","101-68-8","1.0","1.0","1.0","1.0","81.745","1","121.79","1","71.5","1","0.02","1","1"
"SkinSensDB","Chloramine T","127-65-1","1.0","1.0","0.0","1.0","99.75","1","248.37","1","234.1711649","1","0.4","1","1"
"SkinSensDB","N N-dimethyl-4-nitrosoaniline","138-89-6","1.0","1.0","1.0","1.0","50.0","1","0.5","1","1.1","1","0.48","1","1"
"SkinSensDB","Squaric acid diethyl ester","5231-87-8","0.0","0.0","1.0","1.0","2.0","1","4000.0","1","32.0","1","0.9","1","1"
"SkinSensDB","4-Vinyl pyridine","100-43-6","1.0","1.0","1.0","1.0","46.05","1","9.7","1","3.1","1","1.6","1","1"
"SkinSensDB","2,4-Dinitrobenzenesulfonic acid","885-62-1","1.0","1.0","1.0","1.0","60.80000075","1","70.2","1","41.5","1","1.9","1","1"
"SkinSensDB","Tween 80","9005-65-6","1.0","1.0","1.0","0.0","31.0","1","19.3","1","9.0","1","0.0","1","1"
"SkinSensDB","Glyceryl monothioglycolate","30618-84-9","1.0","1.0","1.0","1.0","9.600000000000001","1","158.7","1","6.0","1","4.7","1","1"
"SkinSensDB","3-nitro-p-hydroxyethylaminophenol","65235-31-6","1.0","1.0","1.0","1.0","99.5","1","6.0","1","1.0","1","0.07","1","1"
"SkinSensDB","Hydroxytyrosol","10597-60-1","1.0","1.0","1.0","1.0","69.7","1","88.87","1","3.37","1","0.61","1","1"
"SkinSensDB","Imidazoidinyl urea","39236-46-9","1.0","1.0","1.0","1.0","47.650000000000006","1","29.9","1","11.0","1","24.0","1","1"
"SkinSensDB","2-MBT (2-Mercaptobenzothiazole)","149-30-4","1.0","1.0","1.0","1.0","51.6","1","44.3","1","37.4","1","1.0","1","1"
"SkinSensDB","2-Hydroxy-ethyl-acrylate","818-61-1","1.0","1.0","1.0","1.0","96.75","1","32.27","1","2.1","1","1.4","1","1"
"SkinSensDB","1-Thioglycerol(3-mercapto-1 ,2-propanediol)","96-27-5","1.0","0.0","1.0","1.0","27.85","1","2000.0","1","82.0","1","3.55","1","1"
"SkinSensDB","Resorcinol","108-46-3","1.0","0.0","1.0","1.0","14.7","1","2000.0","1","4.8","1","5.5","1","1"
"SkinSensDB","3,3, 4,5-Tetrachlorosalicylanilide","1154-59-2","1.0","1.0","1.0","1.0","22.9","1","1.18","1","2.0","1","0.04","1","1"
"SkinSensDB","3,4-Dihydrocoumarin","119-84-6","1.0","0.0","0.0","1.0","55.6","1","2000.0","1","200.0","1","3.3","1","1"
"SkinSensDB","Oakmoss","90028-68-5","1.0","1.0","1.0","1.0","73.6","1","7.66","1","10.89","1","3.88","1","1"
"SkinSensDB","HC VIOLET No,2","104226-19-9","1.0","1.0","0.0","1.0","100.0","1","2.0","1","200.0","1","5.93","1","1"
"SkinSensDB","3-AminophenoI","591-27-5","1.0","1.0","1.0","1.0","30.45","1","13.56","1","4.0","1","0.24","1","1"
"SkinSensDB","1,3-phenylenediamine","108-45-2","1.0","1.0","1.0","1.0","16.8","1","82.5","1","2.0","1","0.49","1","1"
"SkinSensDB","Bandrowski's Base","20048-27-5","1.0","1.0","1.0","1.0","53.949999999999996","1","0.5","1","1.0","1","0.008","1","1"
"SkinSensDB","1 ,4-Phenylenediamine(PPD)","106-50-3","1.0","1.0","1.0","1.0","71.0","1","4.49","1","2.09","1","0.001","1","1"
"SkinSensDB","2-Nitro-1 ,4-phenylendiamine","5307-14-2","1.0","1.0","1.0","1.0","52.45","1","11.46","1","5.0","1","0.4","1","1"
"SkinSensDB","Jasmine Absolute (Sambac)","91770-14-8","0.0","1.0","1.0","1.0","1.0050000000000001","1","21.7","1","13.71","1","36.4","1","1"
"SkinSensDB","4-AllyIanisole","140-67-0","1.0","1.0","1.0","1.0","51.05","1","39.0","1","54.0","1","18.0","1","1"
"SkinSensDB","HC RED No, 7","24905-87-1","1.0","1.0","1.0","1.0","53.95","1","12.0","1","11.1","1","1.2","1","1"
"SkinSensDB","4-Aminobenzoic acid","150-13-0","1.0","0.0","0.0","1.0","6.57","1","2000.0","1","200.0","1","10.0","1","1"
"SkinSensDB","4-Amino-3-nitrophenol","610-81-1","1.0","1.0","1.0","1.0","89.55","1","79.0","1","0.6","1","0.2","1","1"
"SkinSensDB","Anethole","104-46-1","0.0","0.0","1.0","1.0","4.8","1","2000.0","1","96.39","1","2.3","1","1"
"SkinSensDB","2,7-Dihydroxynaphthalin","582-17-2","1.0","1.0","1.0","1.0","32.0","1","22.71","1","24.9","1","2.8","1","1"
"SkinSensDB","Iodopropynyl butyl carbamate","55406-53-6","1.0","1.0","1.0","1.0","50.4","1","2.1","1","2.0","1","0.9","1","1"
"SkinSensDB","Methyl acrylate","96-33-3","1.0","1.0","1.0","1.0","95.35","1","124.0","1","7.949978134","1","20.0","1","1"
"SkinSensDB","4-(Methylamino) phenol hemisulfate salt","55-55-0","1.0","1.0","1.0","1.0","72.35","1","2.2","1","0.3","1","0.78","1","1"
"SkinSensDB","3-Dimethy1amino propylamine","109-55-7","0.0","1.0","1.0","1.0","5.1","1","85.5","1","54.0","1","2.2","1","1"
