Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,KE1_metric,KE1_metric__present,KE2_metric,KE2_metric__present,KE3_metric,KE3_metric__present,LLNA_EC3,LLNA_EC3__present,complete_case
SkinSensDB,Hexachlorophene,70-30-4,,,,,,0,,0,,0,,0,0
SkinSensDB,Limonene (not oxidized),"138-86-3,5989-27-5",,,,,,0,,0,,0,,0,0
SkinSensDB,Bacitracin,1405-87-4,,,,,,0,,0,,0,,0,0
SkinSensDB,Quaternium-15,4080-31-1,,,,,,0,,0,,0,,0,0
SkinSensDB,Pentadecylcatechol,492-89-7,,,,,,0,,0,,0,,0,0
SkinSensDB,Peru balsam,8007-00-9,,,,,,0,,0,,0,,0,0
SkinSensDB,Nickel,7440-02-0,,,,,,0,,0,,0,,0,0
SkinSensDB,Squaric acid dibutylester,2892-62-8,,,,,,0,,0,,0,,0,0
SkinSensDB,Hydrazine,301-01-2,,,,,,0,,0,,0,,0,0
SkinSensDB,Cobalt sulfate,10124-43-4,,,,,,0,,0,,0,,0,0
SkinSensDB,Barium chloride,10361-37-2,,,,,,0,,0,,0,,0,0
SkinSensDB,Cerium (III) chloride heptahydrate,18618-55-8,,,,,,0,,0,,0,,0,0
SkinSensDB,Neodymium (III) chloride hexahydrate,13477-89-9,,,,,,0,,0,,0,,0,0
SkinSensDB,Yttrium (III) chloride hexahydrate,10025-94-2,,,,,,0,,0,,0,,0,0
SkinSensDB,Holmium (III) chloride hexahydrate,14914-84-2,,,,,,0,,0,,0,,0,0
SkinSensDB,Europium (III) chloride hexahydrate,13759-92-7,,,,,,0,,0,,0,,0,0
SkinSensDB,Terbufos,13071-79-9,,1.0,,,,0,2.48,1,,0,,0,0
SkinSensDB,Pretilachlor,51218-49-6,,1.0,,,,0,1.39,1,,0,,0,0
SkinSensDB,Glufosinate ammonium,77182-82-2,,,,,,0,,0,,0,,0,0
SkinSensDB,Amphoterycin B,1397-89-3,,,,,,0,,0,,0,,0,0
SkinSensDB,Minocycline,10118-90-8,,,,,,0,,0,,0,,0,0
SkinSensDB,Methotrexate,59-05-2,,,,,,0,,0,,0,,0,0
SkinSensDB,Digoxin,20830-75-5,,,,,,0,,0,,0,,0,0
SkinSensDB,Trichloroethylene,79-01-6,,,,,,0,,0,,0,,0,0
SkinSensDB,Hexachlorobenzene,118-74-1,,,,,,0,,0,,0,,0,0
SkinSensDB,Lead(ll) acetate,301-04-2,,,,,,0,,0,,0,,0,0
SkinSensDB,Hydrogen peroxide,7722-84-1,,,,,,0,,0,,0,,0,0
SkinSensDB,FK506,104987-11-3,,,,,,0,,0,,0,,0,0
SkinSensDB,Cyclosporine A,59865-13-3,,,,,,0,,0,,0,,0,0
SkinSensDB,Cyclophosphamide,50-18-0,,,,,,0,,0,,0,,0,0
SkinSensDB,Dapsone,80-08-0,,,,,,0,,0,,0,,0,0
SkinSensDB,FR167653,158876-65-4,,,,,,0,,0,,0,,0,0
SkinSensDB,Chloroquine,54-05-7,,,,,,0,,0,,0,,0,0
SkinSensDB,Chloroplatinic acid,16941-12-1,,,,,,0,,0,,0,,0,0
SkinSensDB,Lithium carbonate,554-13-2,,,,,,0,,0,,0,,0,0
SkinSensDB,Lutetium (III) chloride hexahydrate,15230-79-2,,,,,,0,,0,,0,,0,0
SkinSensDB,Perillaldehyde,18031-40-8,,,,,,0,,0,,0,,0,0
SkinSensDB,Disperse Orange 3,730-40-5,,,1.0,,,0,,0,2.05,1,,0,0
SkinSensDB,Basic Red 51,77061-58-6,,,1.0,,,0,,0,3.69,1,,0,0
SkinSensDB,Lawsone,83-72-7,,,1.0,,,0,,0,0.28,1,,0,0
SkinSensDB,"4,4,4-Trifluro-1-phenylbutane- 1,3-dione",326-06-7,,,1.0,,,0,,0,18.0,1,,0,0
SkinSensDB,Tween 21,9005-64-5,,,1.0,,,0,,0,68.0,1,,0,0
SkinSensDB,Sorbic acid,110-44-1,,,1.0,,,0,,0,115.0,1,,0,0
SkinSensDB,Chlorhexidine gluconate,55-56-1,,,1.0,,,0,,0,4.0,1,,0,0
SkinSensDB,Triclosan,3380-34-5,,,1.0,,,0,,0,4.0,1,,0,0
SkinSensDB,polyhexamethylene guanidine (PHMG-P),89697-78-9,,,1.0,,,0,,0,0.87,1,,0,0
SkinSensDB,CPF-2 (aminopyralid triisopropanolammonium),566191-89-7,,,,,,0,,0,,0,,0,0
SkinSensDB,"1,2-Octanediol",1117-86-8,,,,,,0,,0,,0,,0,0
SkinSensDB,Caprylic/capric glycerides,85409-09-2,,,,,,0,,0,,0,,0,0
SkinSensDB,Hydroxyacetophenone,99-93-4,,,,,,0,,0,,0,,0,0
SkinSensDB,Caprylyl sulfobetaine,15163-36-7,,,,,,0,,0,,0,,0,0
SkinSensDB,Ammonium persulfate,231-786-5,,,,,,0,,0,,0,,0,0
SkinSensDB,MCI/MI (act. 1.5%),Mixture/26172-55-4,,,1.0,,,0,,0,2.21,1,,0,0
SkinSensDB,Solvent Orange 60,6925-69-5,,1.0,,,,0,1.47,1,,0,,0,0
SkinSensDB,Isobornyl acrylate,5888-33-5,,1.0,,,,0,2.9,1,,0,,0,0
SkinSensDB,4-methoxy-acetophenone,100-06-01,,,,,,0,,0,,0,,0,0
SkinSensDB,Didecyldimethylammonium chloride,7173-51-5,0.0,,1.0,,0.29,1,,0,0.1,1,,0,0
SkinSensDB,ethyl everninate,6110-36-7,1.0,,,,56.745,1,,0,,0,,0,0
SkinSensDB,3-methoxy-5-methylphenol,3209-13-0,0.0,0.0,,,4.1049999999999995,1,2001.0,1,,0,,0,0
SkinSensDB,Rapamycin,53123-88-9,,,,,,0,,0,,0,,0,0
SkinSensDB,Tetraammineplatinum bicarbonate,123439-82-7,,,,,,0,,0,,0,,0,0
SkinSensDB,Ascorbic acid,50-81-7,,,,,,0,,0,,0,,0,0
SkinSensDB,Hexachloroplatinate,16921-30-5,,,,,,0,,0,,0,,0,0
SkinSensDB,Erucamide,112-84-5,,,,,,0,,0,,0,,0,0
SkinSensDB,Nitrogen mustard,555-77-1,1.0,1.0,,,55.699999999999996,1,5.0,1,,0,,0,0
SkinSensDB,BaSO4 NM-220,7727-43-7,0.0,,,,0.98,1,,0,,0,,0,0
SkinSensDB,(3E)-4-methyl-3-decen-5-one,811412-48-3,,1.0,0.0,,,0,63.92,1,558.6510786,1,,0,0
SkinSensDB,1-Cyclohexylethyl 2-butenoate,68039-69-0,,,,,,0,,0,,0,,0,0
SkinSensDB,Chloramine T,7080-50-4,,,,,,0,,0,,0,,0,0
SkinSensDB,Ethanolamine,141-43-5,0.0,,,,1.09,1,,0,,0,,0,0
SkinSensDB,"4,4'-Methylenedianiline",101-77-9,0.0,,,,0.9349999999999999,1,,0,,0,,0,0
SkinSensDB,"2,6-Diaminotoluene",823-40-5,0.0,,,,5.175,1,,0,,0,,0,0
SkinSensDB,Bis(2-ethylhexyl) maleate,142-16-5,0.0,,,,2.565,1,,0,,0,,0,0
SkinSensDB,Dimethyl maleate,624-48-6,1.0,,,,91.6,1,,0,,0,,0,0
SkinSensDB,DMDM hydantoin,6440-58-0,1.0,,,,31.34,1,,0,,0,,0,0
SkinSensDB,2-Bromoethanol,540-51-2,1.0,,,,10.39,1,,0,,0,,0,0
SkinSensDB,"2-Bromo-2-nitro-1,3-propanediol (Bronopol)",52-51-7,1.0,,1.0,,83.8,1,,0,2.0,1,,0,0
SkinSensDB,Methyl jasmonate (mixture of isomers),1101843-02-0,1.0,,,,10.885000000000002,1,,0,,0,,0,0
SkinSensDB,Tartaric acid,133-37-9,,,,,,0,,0,,0,,0,0
SkinSensDB,Nonanal,124-19-6,1.0,,,,13.64,1,,0,,0,,0,0
SkinSensDB,Butyl acetate,123-86-4,0.0,,,,0.925,1,,0,,0,,0,0
SkinSensDB,Erbium (III) chloride hexahydrate,10025-75-9,,,,,,0,,0,,0,,0,0
SkinSensDB,Decamethylcyclopentasiloxane,541-02-6,0.0,,,,0.39,1,,0,,0,,0,0
SkinSensDB,Octamethylcyclotetrasiloxane,556-67-2,0.0,,,,0.145,1,,0,,0,,0,0
