Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,pattern,n_pos,concordant,misclassified
ICE,Benzyl cinnamate,103-41-3,0,1,1,1,011,2,False,1
ICE,R-(-)-Carvone,6485-40-1,1,1,1,1,111,3,True,0
ICE,2-Methylundecanal,110-41-8,1,1,1,1,111,3,True,0
ICE,1-(4-Methoxyphenyl)-1-pentene-3-one,104-27-8,1,1,1,1,111,3,True,0
ICE,Methyl methanesulfonate,66-27-3,1,1,1,1,111,3,True,0
ICE,Safranal,116-26-7,1,1,1,1,111,3,True,0
ICE,10-Undecen-1-al,112-45-8,0,1,0,1,010,1,False,1
ICE,Diethylenetriamine,111-40-0,0,0,0,1,000,0,True,1
ICE,2-Methylcinnamic aldehyde,101-39-3,1,1,1,1,111,3,True,0
ICE,Lactic acid,50-21-5,0,0,0,0,000,0,True,0
ICE,Squaric acid,2892-51-5,1,0,0,1,100,1,False,1
ICE,1-Iodohexane,638-45-9,1,1,1,0,111,3,True,1
ICE,Tropolone,533-75-5,1,1,1,1,111,3,True,0
ICE,alpha-Furil,492-94-4,1,1,0,0,110,2,False,1
ICE,Farnesol,4602-84-0,0,1,1,1,011,2,False,1
ICE,"N,N-Dimethylformamide",68-12-2,0,0,0,0,000,0,True,0
ICE,5-Amino-2-methylphenol,2835-95-2,1,1,1,1,111,3,True,0
ICE,Ethyl sulfate (Et2SO4),64-67-5,1,1,1,1,111,3,True,0
ICE,Benzyl salicylate,118-58-1,0,1,1,1,011,2,False,1
ICE,2-Decenal,3913-71-1,1,1,1,1,111,3,True,0
ICE,Methylpyruvate,600-22-6,0,0,0,1,000,0,True,1
ICE,"Benzenesulfonic acid, 2,4-dinitro-, sodium salt",885-62-1,1,1,1,1,111,3,True,0
ICE,Bisphenol A glycidyl methacrylate,1565-94-2,1,1,0,1,110,2,False,1
ICE,4-Vinylpyridine,100-43-6,1,1,1,1,111,3,True,0
ICE,Isopropyl tetradecanoate,110-27-0,0,0,1,1,001,1,False,1
ICE,4-Amino-m-cresol,2835-99-6,1,1,1,1,111,3,True,0
ICE,Citronellol,106-22-9,1,0,1,1,101,2,False,1
ICE,"1-Phenyl-1,2-propanedione",579-07-7,1,1,1,1,111,3,True,0
ICE,4-Acetoxy benzoic acid,2345-34-8,1,0,0,1,100,1,False,1
ICE,Ethyl acrylate,140-88-5,1,1,1,1,111,3,True,0
ICE,Dipivaloylmethane,1118-71-4,0,0,0,1,000,0,True,1
ICE,(Z)-Non-6-enal,2277-19-2,0,1,1,1,011,2,False,1
ICE,Methyl acrylate,96-33-3,1,1,1,1,111,3,True,0
ICE,"N,N-Dibutylaniline",613-29-6,0,0,0,1,000,0,True,1
ICE,Squaric acid diethyl ester,5231-87-8,0,0,0,1,000,0,True,1
ICE,3-Iodo-2-propynyl-N-butylcarbamate,55406-53-6,1,1,1,1,111,3,True,0
ICE,Hexahydrophthalic anhydride,85-42-7,1,0,1,1,101,2,False,1
ICE,"Phenol, p-(methylamino)-, sulfate (2:1) (salt)",55-55-0,1,1,1,1,111,3,True,0
ICE,"N,N-Dimethyl-4-nitrosoaniline",138-89-6,1,1,1,1,111,3,True,0
ICE,Methyl 2-octynoate,111-12-6,1,1,1,1,111,3,True,0
ICE,Chloramine-T,127-65-1,1,1,1,1,111,3,True,0
ICE,Hexyl salicylate,6259-76-3,0,0,1,1,001,1,False,1
ICE,"3-Methyl-1,2-benzenediol",488-17-5,1,1,1,1,111,3,True,0
ICE,"7,12-Dimethylbenz[a]anthracene",57-97-6,0,1,0,1,010,1,False,1
ICE,Chlorothalonil,1897-45-6,1,1,1,1,111,3,True,0
ICE,Oxazolone,15646-46-5,1,1,1,1,111,3,True,0
ICE,Nickel chloride,7718-54-9,1,1,1,0,111,3,True,1
ICE,Polysorbate 80,9005-65-6,0,1,1,0,011,2,False,1
ICE,Benzyl alcohol,100-51-6,0,1,1,0,011,2,False,1
ICE,Xylenes,1330-20-7,0,0,1,1,001,1,False,1
ICE,D-Limonene,5989-27-5,1,0,1,1,101,2,False,1
ICE,Isomethyl-alpha-ionone,127-51-5,0,0,1,1,001,1,False,1
ICE,Butyl acrylate,141-32-2,1,1,1,1,111,3,True,0
ICE,2-Ethylhexyl acrylate,103-11-7,1,1,1,1,111,3,True,0
ICE,Cobalt chloride,7646-79-9,1,1,1,1,111,3,True,0
ICE,1-Naphthol,90-15-3,1,1,1,1,111,3,True,0
ICE,"1,4-Benzoquinone",106-51-4,1,1,1,1,111,3,True,0
ICE,Benzoyl peroxide,94-36-0,1,0,1,1,101,2,False,1
ICE,Benzyl benzoate,120-51-4,0,1,0,1,010,1,False,1
ICE,Butyl glycidyl ether,2426-08-6,1,1,1,1,111,3,True,0
ICE,alpha-Bromotoluene,100-39-0,1,1,1,1,111,3,True,0
ICE,Methyl styryl ketone,122-57-6,1,1,1,1,111,3,True,0
ICE,Chlorobenzene,108-90-7,0,0,1,0,001,1,False,1
ICE,3-Phenylprop-2-enal,104-55-2,1,1,1,1,111,3,True,0
ICE,"1,2-Benzisothiazolin-3-one",2634-33-5,1,1,1,1,111,3,True,0
ICE,Bisphenol A diglycidyl ether,1675-54-3,1,1,1,1,111,3,True,0
ICE,3-Phenyl-2-propen-1-ol,104-54-1,1,1,1,1,111,3,True,0
ICE,"3,7-Dimethyl-2,6-octadienal",5392-40-5,1,1,1,1,111,3,True,0
ICE,Coumarin,91-64-5,0,1,1,1,011,2,False,1
ICE,Cyclamen aldehyde,103-95-7,1,1,1,1,111,3,True,0
ICE,2-Ethylbutyraldehyde,97-96-1,1,1,1,1,111,3,True,0
ICE,"1,2-Dibromo-2,4-dicyanobutane",35691-65-7,1,1,1,1,111,3,True,0
ICE,Diethyl maleate,141-05-9,1,1,1,1,111,3,True,0
ICE,Ethylene glycol dimethacrylate,97-90-5,1,1,1,1,111,3,True,0
ICE,Ethylenediamine,107-15-3,1,1,1,1,111,3,True,0
ICE,Eugenol,97-53-0,1,1,1,1,111,3,True,0
ICE,Formaldehyde,50-00-0,1,1,1,1,111,3,True,0
ICE,"(E,E)-Farnesal",502-67-0,1,1,1,1,111,3,True,0
ICE,Glutaraldehyde,111-30-8,1,1,1,1,111,3,True,0
ICE,Hydroquinone,123-31-9,1,1,1,1,111,3,True,0
ICE,Geraniol,106-24-1,0,1,1,1,011,2,False,1
ICE,Imidazolidinyl urea,39236-46-9,1,1,1,1,111,3,True,0
ICE,Isoeugenol,97-54-1,1,1,1,1,111,3,True,0
