"Dataset","Chemical","CAS","KE1_call","KE2_call","KE3_call","LLNA_call","LLNA_EC3","KE1_metric","KS_call","LuSens_call","hCLAT_call","USENS_call"
"ICE","Benzyl cinnamate","103-41-3","0.0","1.0","1.0","","18.4","","Active","","Inactive","Active"
"ICE","Methyl methanesulfonate","66-27-3","1.0","1.0","1.0","","8.1","","Active","","Inactive","Active"
"ICE","1-Iodohexane","638-45-9","1.0","1.0","1.0","0.0","","","Active","","Active","Inactive"
"ICE","Benzyl salicylate","118-58-1","0.0","1.0","1.0","1.0","2.8499999999999996","","Active","","Inactive","Active"
"ICE","Isopropyl tetradecanoate","110-27-0","0.0","0.0","1.0","","44.0","","Inactive","","Active","Inactive"
"ICE","Ethyl acrylate","140-88-5","1.0","1.0","1.0","1.0","28.35","","Active","Active","Inactive","Active"
"ICE","Nickel chloride","7718-54-9","1.0","1.0","1.0","0.0","5.5","","Active","Inactive","Active",""
"ICE","Polysorbate 80","9005-65-6","0.0","1.0","1.0","0.0","","","Active","Active","Inactive","Active"
"ICE","Benzyl alcohol","100-51-6","0.0","1.0","1.0","0.0","","","Inactive","Active","Active",""
"ICE","Xylenes","1330-20-7","0.0","0.0","1.0","1.0","95.8","","Inactive","Inactive","Active","Inactive"
"ICE","2-Ethylhexyl acrylate","103-11-7","1.0","1.0","1.0","1.0","23.25","40.175000000000004","Active","Active","Active","Inactive"
"ICE","Benzoyl peroxide","94-36-0","1.0","0.0","1.0","","0.0137","90.65","Inactive","Inactive","Inactive","Active"
"ICE","Butyl glycidyl ether","2426-08-6","1.0","1.0","1.0","1.0","29.45","39.4","Active","Active","Inactive","Active"
"ICE","Cyclamen aldehyde","103-95-7","1.0","1.0","1.0","","22.3","9.625","Active","","Inactive","Active"
"ICE","2-Ethylbutyraldehyde","97-96-1","1.0","1.0","1.0","1.0","72.1","57.35","Active","","Active","Inactive"
"ICE","Ethylenediamine","107-15-3","1.0","1.0","1.0","","2.2","1.7","Active","Inactive","Active","Active"
"ICE","Eugenol","97-53-0","1.0","1.0","1.0","1.0","12.9","21.0","Active","Active","Active","Active"
"ICE","(E,E)-Farnesal","502-67-0","1.0","1.0","1.0","","12.0","14.525","Active","Inactive","Active","Inactive"
"ICE","Isoeugenol","97-54-1","1.0","1.0","1.0","1.0","1.35","50.0","Active","Active","Active","Active"
"ICE","2-(4-Tert-Butylbenzyl)propionaldehyde","80-54-6","1.0","0.0","1.0","1.0","18.85","3.875","Inactive","","Active","Active"
"ICE","Methyl salicylate","119-36-8","1.0","1.0","0.0","0.0","18.25","3.15","Active","Active","Inactive","Inactive"
"ICE","Oxalic acid","144-62-7","0.0","1.0","1.0","","6.3","0.225","Active","","Active","Inactive"
"ICE","2-(Phenylmethylene)octanal","101-86-0","0.0","1.0","1.0","1.0","9.55","0.3","Active","Active","Active","Active"
"ICE","Phthalic anhydride","85-44-9","1.0","1.0","1.0","1.0","0.16","30.75","Active","Inactive","Inactive","Active"
"ICE","Pyridine","110-86-1","0.0","0.0","1.0","","72.0","0.375","Inactive","Inactive","Active","Inactive"
"ICE","Resorcinol","108-46-3","1.0","0.0","1.0","1.0","5.71","3.6999999999999997","Inactive","Inactive","Active","Active"
"ICE","1-Bromohexane","111-25-1","1.0","1.0","0.0","","10.0","23.175","Active","","Inactive","Inactive"
"ICE","Salicylic acid","69-72-7","1.0","0.0","1.0","0.0","12.2","4.175","Inactive","Inactive","Active","Inactive"
"ICE","Sodium dodecyl sulfate","151-21-3","1.0","1.0","1.0","1.0","4.2","24.25","Active","Inactive","Active","Active"
"ICE","Trimellitic anhydride","552-30-7","1.0","0.0","1.0","","0.19","21.85","Inactive","","Active","Inactive"
"ICE","alpha-Amylcinnamaldehyde","122-40-7","0.0","1.0","1.0","","10.6","2.25","Active","","Active","Active"
"ICE","2-Methoxy-4-methylphenol","93-51-6","1.0","0.0","1.0","1.0","5.6","7.225","Inactive","","Active","Active"
"ICE","3-Propylidenephthalide","17369-59-4","1.0","0.0","1.0","","3.7","14.375","Inactive","","Active","Inactive"
"ICE","3,4-Dihydrocoumarin","119-84-6","1.0","0.0","1.0","","4.449999999999999","19.85","Inactive","","Active","Inactive"
"ICE","Estragole","140-67-0","1.0","1.0","1.0","1.0","19.1","27.0","Active","Inactive","Active","Inactive"
"ICE","Abietic acid","514-10-3","1.0","1.0","1.0","","15.0","58.05","Active","","Inactive","Active"
"ICE","Benzalkonium chloride","8001-54-5","0.0","0.0","1.0","0.0","0.1","1.4","Inactive","","Inactive","Active"
"ICE","Benzocaine","94-09-7","1.0","1.0","1.0","","3.4","10.35","Active","","Active","Active"
"ICE","4-Nitrobenzylbromide","100-11-8","1.0","1.0","1.0","","0.05","61.55","Active","Active","Active","Inactive"
