CAS,Chemical,colleague_KE1_call,colleague_KE2_call,colleague_KE3_call,current_KE1_call,current_KE2_or_call,current_KE3_or_call,current_KE2_consensus_call,current_KE3_consensus_call,KS_call,LuSens_call,hCLAT_call,USENS_call,LLNA_call,LLNA_EC3
100-06-1,4'-Methoxyacetophenone,0,1,1,0,1,1,1,1,Active,Active,Active,Active,0.0,50.0
100-39-0,alpha-Bromotoluene,1,1,1,1,1,1,1,1,Active,,Active,Active,,0.2
100-43-6,4-Vinylpyridine,1,1,1,1,1,1,1,1,Active,,,Active,1.0,1.6
101-39-3,2-Methylcinnamic aldehyde,1,1,1,1,1,1,1,1,Active,,Active,Active,,4.5
104-27-8,1-(4-Methoxyphenyl)-1-pentene-3-one,1,1,1,1,1,1,1,1,Active,,,Active,,9.3
104-54-1,3-Phenyl-2-propen-1-ol,1,1,1,1,1,1,1,1,Active,Active,Active,Active,1.0,21.0
104-55-2,3-Phenylprop-2-enal,1,1,1,1,1,1,1,1,Active,Active,Active,Active,,1.3
106-22-9,Citronellol,1,0,1,1,0,1,0,1,Inactive,,Active,Active,,43.5
106-24-1,Geraniol,0,1,1,0,1,1,1,1,Active,,Active,Active,,18.7
106-50-3,"1,4-Benzenediamine",1,1,1,1,1,1,1,1,Active,Active,Active,Active,1.0,0.14
106-51-4,"1,4-Benzoquinone",1,1,1,1,1,1,1,1,Active,Active,Active,Active,,0.0099
107-22-2,Glyoxal,1,1,1,1,1,1,1,1,Active,Active,Active,Active,,1.4
107-75-5,Hydroxycitronellal,1,1,1,1,1,1,1,1,Active,Active,Active,Active,,22.0
108-31-6,"2,5-Furandione",1,1,1,1,1,1,1,1,Active,,Active,Active,1.0,0.16
108-90-7,Chlorobenzene,0,0,0,0,0,1,0,0,Inactive,,Active,Inactive,0.0,
109-55-7,3-(Dimethylamino)propylamine,0,1,1,0,1,1,1,1,Active,,Active,Active,,2.25
110-41-8,2-Methylundecanal,1,1,1,1,1,1,1,1,Active,,,Active,,10.0
