Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,Misclassified,KE1_metric,KE1_metric__present,KS_call,KS_call__present,LuSens_call,LuSens_call__present,hCLAT_call,hCLAT_call__present,USENS_call,USENS_call__present,LLNA_EC3,LLNA_EC3__present,complete_case,reverse_pattern,reverse_LLNA_call,reverse_LLNA_source,reverse_misclassified
ICE,Benzyl cinnamate,103-41-3,0.0,1.0,1.0,,,,0,Active,1,,0,Inactive,1,Active,1,18.4,1,0,011,1,LLNA_EC3,1
ICE,Methyl methanesulfonate,66-27-3,1.0,1.0,1.0,,,,0,Active,1,,0,Inactive,1,Active,1,8.1,1,0,111,1,LLNA_EC3,0
ICE,1-Iodohexane,638-45-9,1.0,1.0,1.0,0.0,1.0,,0,Active,1,,0,Active,1,Inactive,1,,0,1,111,0,LLNA_call,1
ICE,Benzyl salicylate,118-58-1,0.0,1.0,1.0,1.0,1.0,,0,Active,1,,0,Inactive,1,Active,1,2.8499999999999996,1,1,011,1,LLNA_EC3,1
ICE,Isopropyl tetradecanoate,110-27-0,0.0,0.0,1.0,,,,0,Inactive,1,,0,Active,1,Inactive,1,44.0,1,0,001,1,LLNA_EC3,1
ICE,Ethyl acrylate,140-88-5,1.0,1.0,1.0,1.0,0.0,,0,Active,1,Active,1,Inactive,1,Active,1,28.35,1,1,111,1,LLNA_EC3,0
ICE,Nickel chloride,7718-54-9,1.0,1.0,1.0,0.0,1.0,,0,Active,1,Inactive,1,Active,1,,0,5.5,1,1,111,1,LLNA_EC3,0
ICE,Polysorbate 80,9005-65-6,0.0,1.0,1.0,0.0,1.0,,0,Active,1,Active,1,Inactive,1,Active,1,,0,1,011,0,LLNA_call,1
ICE,Benzyl alcohol,100-51-6,0.0,1.0,1.0,0.0,1.0,,0,Inactive,1,Active,1,Active,1,,0,,0,1,011,0,LLNA_call,1
ICE,Xylenes,1330-20-7,0.0,0.0,1.0,1.0,1.0,,0,Inactive,1,Inactive,1,Active,1,Inactive,1,95.8,1,1,001,1,LLNA_EC3,1
ICE,2-Ethylhexyl acrylate,103-11-7,1.0,1.0,1.0,1.0,0.0,40.175000000000004,1,Active,1,Active,1,Active,1,Inactive,1,23.25,1,1,111,1,LLNA_EC3,0
ICE,Benzoyl peroxide,94-36-0,1.0,0.0,1.0,,,90.65,1,Inactive,1,Inactive,1,Inactive,1,Active,1,0.0137,1,0,101,1,LLNA_EC3,1
ICE,Butyl glycidyl ether,2426-08-6,1.0,1.0,1.0,1.0,0.0,39.4,1,Active,1,Active,1,Inactive,1,Active,1,29.45,1,1,111,1,LLNA_EC3,0
ICE,Cyclamen aldehyde,103-95-7,1.0,1.0,1.0,,,9.625,1,Active,1,,0,Inactive,1,Active,1,22.3,1,0,111,1,LLNA_EC3,0
ICE,2-Ethylbutyraldehyde,97-96-1,1.0,1.0,1.0,1.0,0.0,57.35,1,Active,1,,0,Active,1,Inactive,1,72.1,1,1,111,1,LLNA_EC3,0
ICE,Ethylenediamine,107-15-3,1.0,1.0,1.0,,,1.7,1,Active,1,Inactive,1,Active,1,Active,1,2.2,1,0,111,1,LLNA_EC3,0
ICE,Eugenol,97-53-0,1.0,1.0,1.0,1.0,0.0,21.0,1,Active,1,Active,1,Active,1,Active,1,12.9,1,1,111,1,LLNA_EC3,0
ICE,"(E,E)-Farnesal",502-67-0,1.0,1.0,1.0,,,14.525,1,Active,1,Inactive,1,Active,1,Inactive,1,12.0,1,0,111,1,LLNA_EC3,0
ICE,Isoeugenol,97-54-1,1.0,1.0,1.0,1.0,0.0,50.0,1,Active,1,Active,1,Active,1,Active,1,1.35,1,1,111,1,LLNA_EC3,0
ICE,2-(4-Tert-Butylbenzyl)propionaldehyde,80-54-6,1.0,0.0,1.0,1.0,1.0,3.875,1,Inactive,1,,0,Active,1,Active,1,18.85,1,1,101,1,LLNA_EC3,1
ICE,Methyl salicylate,119-36-8,1.0,1.0,0.0,0.0,1.0,3.15,1,Active,1,Active,1,Inactive,1,Inactive,1,18.25,1,1,110,1,LLNA_EC3,1
ICE,Oxalic acid,144-62-7,0.0,1.0,1.0,,,0.225,1,Active,1,,0,Active,1,Inactive,1,6.3,1,0,011,1,LLNA_EC3,1
ICE,2-(Phenylmethylene)octanal,101-86-0,0.0,1.0,1.0,1.0,1.0,0.3,1,Active,1,Active,1,Active,1,Active,1,9.55,1,1,011,1,LLNA_EC3,1
ICE,Phthalic anhydride,85-44-9,1.0,1.0,1.0,1.0,0.0,30.75,1,Active,1,Inactive,1,Inactive,1,Active,1,0.16,1,1,111,1,LLNA_EC3,0
ICE,Pyridine,110-86-1,0.0,0.0,1.0,,,0.375,1,Inactive,1,Inactive,1,Active,1,Inactive,1,72.0,1,0,001,1,LLNA_EC3,1
ICE,Resorcinol,108-46-3,1.0,0.0,1.0,1.0,1.0,3.6999999999999997,1,Inactive,1,Inactive,1,Active,1,Active,1,5.71,1,1,101,1,LLNA_EC3,1
ICE,1-Bromohexane,111-25-1,1.0,1.0,0.0,,,23.175,1,Active,1,,0,Inactive,1,Inactive,1,10.0,1,0,110,1,LLNA_EC3,1
ICE,Salicylic acid,69-72-7,1.0,0.0,1.0,0.0,1.0,4.175,1,Inactive,1,Inactive,1,Active,1,Inactive,1,12.2,1,1,101,1,LLNA_EC3,1
ICE,Sodium dodecyl sulfate,151-21-3,1.0,1.0,1.0,1.0,0.0,24.25,1,Active,1,Inactive,1,Active,1,Active,1,4.2,1,1,111,1,LLNA_EC3,0
ICE,Trimellitic anhydride,552-30-7,1.0,0.0,1.0,,,21.85,1,Inactive,1,,0,Active,1,Inactive,1,0.19,1,0,101,1,LLNA_EC3,1
ICE,alpha-Amylcinnamaldehyde,122-40-7,0.0,1.0,1.0,,,2.25,1,Active,1,,0,Active,1,Active,1,10.6,1,0,011,1,LLNA_EC3,1
ICE,2-Methoxy-4-methylphenol,93-51-6,1.0,0.0,1.0,1.0,1.0,7.225,1,Inactive,1,,0,Active,1,Active,1,5.6,1,1,101,1,LLNA_EC3,1
ICE,3-Propylidenephthalide,17369-59-4,1.0,0.0,1.0,,,14.375,1,Inactive,1,,0,Active,1,Inactive,1,3.7,1,0,101,1,LLNA_EC3,1
ICE,"3,4-Dihydrocoumarin",119-84-6,1.0,0.0,1.0,,,19.85,1,Inactive,1,,0,Active,1,Inactive,1,4.449999999999999,1,0,101,1,LLNA_EC3,1
ICE,Estragole,140-67-0,1.0,1.0,1.0,1.0,0.0,27.0,1,Active,1,Inactive,1,Active,1,Inactive,1,19.1,1,1,111,1,LLNA_EC3,0
ICE,Abietic acid,514-10-3,1.0,1.0,1.0,,,58.05,1,Active,1,,0,Inactive,1,Active,1,15.0,1,0,111,1,LLNA_EC3,0
ICE,Benzalkonium chloride,8001-54-5,0.0,0.0,1.0,0.0,1.0,1.4,1,Inactive,1,,0,Inactive,1,Active,1,0.1,1,1,001,1,LLNA_EC3,1
ICE,Benzocaine,94-09-7,1.0,1.0,1.0,,,10.35,1,Active,1,,0,Active,1,Active,1,3.4,1,0,111,1,LLNA_EC3,0
ICE,4-Nitrobenzylbromide,100-11-8,1.0,1.0,1.0,,,61.55,1,Active,1,Active,1,Active,1,Inactive,1,0.05,1,0,111,1,LLNA_EC3,0
