Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,Pattern,LLNA_call,Misclassified
SkinSensDB,4-Nitrobenzyl bromide,100-11-8,1,1,1,111,1,0
SkinSensDB,Benzyl bromide,100-39-0,1,1,1,111,1,0
SkinSensDB,4-Vinyl pyridine,100-43-6,1,1,1,111,1,0
SkinSensDB,Diphenylmethane diisocyanate,101-68-8,1,1,1,111,1,0
SkinSensDB,Triethanolamine,102-71-6,0,0,1,001,0,0
SkinSensDB,2-Ethylhexyl acrylate,103-11-7,1,1,1,111,1,0
SkinSensDB,Cyclamen aldehyde,103-95-7,1,1,1,111,1,0
SkinSensDB,1-(4-Methoxyphenyl)-1-penten-3-one,104-27-8,1,1,1,111,1,0
SkinSensDB,Anethole,104-46-1,0,0,1,001,1,1
SkinSensDB,"HC VIOLET No,2",104226-19-9,1,1,0,110,1,0
SkinSensDB,CAPE (Caffeic acid phenethyl ester),104594-70-9,1,1,1,111,1,0
SkinSensDB,Hydroxytyrosol,10597-60-1,1,1,1,111,1,0
SkinSensDB,4-ChIoroaniIine,106-47-8,0,1,1,011,1,0
SkinSensDB,"1 ,4-Phenylenediamine(PPD)",106-50-3,1,1,1,111,1,0
SkinSensDB,"1,4-Benzoquinone",106-51-4,1,1,1,111,1,0
SkinSensDB,Ethylene diamine,107-15-3,1,1,1,111,1,0
SkinSensDB,Glyoxal,107-22-2,1,1,1,111,1,0
SkinSensDB,Maleic anhydride,108-31-6,1,0,0,100,1,1
SkinSensDB,"1,3-phenylenediamine",108-45-2,1,1,1,111,1,0
SkinSensDB,Resorcinol,108-46-3,1,0,1,101,1,0
SkinSensDB,Phenol,108-95-2,1,0,1,101,0,1
SkinSensDB,3-Dimethy1amino propylamine,109-55-7,0,1,1,011,1,0
SkinSensDB,Isopropyl myristate,110-27-0,0,0,0,000,1,1
SkinSensDB,2-Methylundecanal,110-41-8,1,1,1,111,1,0
SkinSensDB,Pyridine,110-86-1,0,0,0,000,1,1
SkinSensDB,1-Bromohexane,111-25-1,1,1,0,110,1,0
