Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,Misclassified,KE2_conflict,KE3_conflict,KE1_metric,KE1_metric__present,KS_call,KS_call__present,LuSens_call,LuSens_call__present,hCLAT_call,hCLAT_call__present,USENS_call,USENS_call__present,LLNA_call_endpoint,LLNA_call_endpoint__present,LLNA_EPA_call,LLNA_EPA_call__present,LLNA_EC3,LLNA_EC3__present,LLNA_EC3_call,LLNA_call_source,LLNA_call__present,complete_case_option_1,complete_case_option_2,complete_case_option_3,complete_case_option_4,complete_case,LLNA_EC3_num,bf_KE2_call,bf_KE3_call,bf_KE2_conflict,bf_KE3_conflict,bf_LLNA_call,bf_LLNA_source,bf_complete_case,bf_misclassified
ICE,Lactic acid,50-21-5,0.0,0.0,0.0,0.0,0.0,0,0,0.65,1,Inactive,1,Inactive,1,Inactive,1,Inactive,1,0.0,1,,0,25.0,1,1.0,Call,1,1,1,1,1,1,25.0,0.0,0.0,0,0,0.0,Call,1,0.0
ICE,Squaric acid,2892-51-5,1.0,0.0,0.0,1.0,1.0,0,0,,0,Inactive,1,,0,,0,Inactive,1,1.0,1,,0,5.699999999999999,1,1.0,Call,1,1,0,1,1,1,5.699999999999999,0.0,0.0,0,0,1.0,Call,1,1.0
ICE,Tropolone,533-75-5,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,Active,1,,0,1.0,1,,0,4.35,1,1.0,Call,1,1,0,1,1,1,4.35,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,alpha-Furil,492-94-4,1.0,1.0,0.0,0.0,1.0,0,0,,0,Active,1,,0,Inactive,1,,0,0.0,1,,0,,0,,Call,1,1,0,1,1,1,,1.0,0.0,0,0,0.0,Call,1,1.0
ICE,Farnesol,4602-84-0,0.0,1.0,1.0,1.0,1.0,0,0,,0,Active,1,,0,Active,1,Active,1,1.0,1,,0,4.1,1,1.0,Call,1,1,0,1,1,1,4.1,1.0,1.0,0,0,1.0,Call,1,1.0
ICE,"N,N-Dimethylformamide",68-12-2,0.0,0.0,0.0,0.0,0.0,0,0,,0,Inactive,1,,0,Inactive,1,,0,0.0,1,,0,100.0,1,1.0,Call,1,1,0,1,1,1,100.0,0.0,0.0,0,0,0.0,Call,1,0.0
ICE,5-Amino-2-methylphenol,2835-95-2,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,1.0,1,,0,3.8,1,1.0,Call,1,1,0,1,1,1,3.8,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,"Benzenesulfonic acid, 2,4-dinitro-, sodium salt",885-62-1,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,1.0,1,,0,2.0,1,1.0,Call,1,1,0,1,1,1,2.0,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,4-Vinylpyridine,100-43-6,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,1.0,1,,0,1.6,1,1.0,Call,1,1,0,1,1,1,1.6,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,4-Acetoxy benzoic acid,2345-34-8,1.0,0.0,0.0,1.0,1.0,0,0,,0,Inactive,1,,0,,0,Inactive,1,1.0,1,,0,30.0,1,1.0,Call,1,1,0,1,1,1,30.0,0.0,0.0,0,0,1.0,Call,1,1.0
ICE,Methyl acrylate,96-33-3,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,Active,1,,0,Active,1,1.0,1,,0,19.8,1,1.0,Call,1,1,0,1,1,1,19.8,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Squaric acid diethyl ester,5231-87-8,0.0,0.0,0.0,1.0,1.0,0,0,,0,Inactive,1,,0,,0,Inactive,1,1.0,1,,0,0.9,1,1.0,Call,1,1,0,1,1,1,0.9,0.0,0.0,0,0,1.0,Call,1,1.0
ICE,3-Iodo-2-propynyl-N-butylcarbamate,55406-53-6,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,Active,1,Active,1,1.0,1,,0,0.9,1,1.0,Call,1,1,0,1,1,1,0.9,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Hexahydrophthalic anhydride,85-42-7,1.0,0.0,1.0,1.0,1.0,0,0,,0,Inactive,1,,0,,0,Active,1,1.0,1,,0,0.84,1,1.0,Call,1,1,0,1,1,1,0.84,0.0,1.0,0,0,1.0,Call,1,1.0
ICE,"N,N-Dimethyl-4-nitrosoaniline",138-89-6,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,1.0,1,,0,0.48,1,1.0,Call,1,1,0,1,1,1,0.48,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Chloramine-T,127-65-1,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,Active,1,,0,1.0,1,,0,0.4,1,1.0,Call,1,1,0,1,1,1,0.4,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,"3-Methyl-1,2-benzenediol",488-17-5,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,1.0,1,,0,0.02,1,1.0,Call,1,1,0,1,1,1,0.02,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Butyl acrylate,141-32-2,1.0,1.0,1.0,1.0,0.0,0,0,92.55,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,20.0,1,1.0,Call,1,1,1,1,1,1,20.0,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Cobalt chloride,7646-79-9,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,Active,1,Active,1,,0,1.0,1,,0,0.6,1,1.0,Call,1,1,0,1,1,1,0.6,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,3-Phenyl-2-propen-1-ol,104-54-1,1.0,1.0,1.0,1.0,0.0,0,0,7.6,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,21.0,1,1.0,Call,1,1,1,1,1,1,21.0,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,"3,7-Dimethyl-2,6-octadienal",5392-40-5,1.0,1.0,1.0,1.0,0.0,0,0,43.6,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,6.449999999999999,1,1.0,Call,1,1,1,1,1,1,6.449999999999999,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Ethylene glycol dimethacrylate,97-90-5,1.0,1.0,1.0,1.0,0.0,0,0,56.775000000000006,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,28.0,1,1.0,Call,1,1,1,1,1,1,28.0,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Eugenol,97-53-0,1.0,1.0,1.0,1.0,0.0,0,0,21.0,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,12.9,1,1.0,Call,1,1,1,1,1,1,12.9,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Formaldehyde,50-00-0,1.0,1.0,1.0,1.0,0.0,0,0,24.225,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,0.845,1,1.0,Call,1,1,1,1,1,1,0.845,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Imidazolidinyl urea,39236-46-9,1.0,1.0,1.0,1.0,0.0,0,0,32.425,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,24.0,1,1.0,Call,1,1,1,1,1,1,24.0,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Isoeugenol,97-54-1,1.0,1.0,1.0,1.0,0.0,0,0,50.0,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,1.35,1,1.0,Call,1,1,1,1,1,1,1.35,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Isopropanol,67-63-0,0.0,0.0,0.0,0.0,0.0,0,0,0.85,1,Inactive,1,Inactive,1,Inactive,1,Inactive,1,0.0,1,,0,,0,,Call,1,1,0,1,1,1,,0.0,0.0,0,0,0.0,Call,1,0.0
ICE,2-(4-Tert-Butylbenzyl)propionaldehyde,80-54-6,1.0,0.0,1.0,1.0,1.0,0,0,3.875,1,Inactive,1,,0,Active,1,Active,1,1.0,1,,0,18.85,1,1.0,Call,1,1,1,1,1,1,18.85,0.0,1.0,0,0,1.0,Call,1,1.0
ICE,Linalool,78-70-6,0.0,0.0,1.0,1.0,1.0,0,0,2.6500000000000004,1,Inactive,1,,0,Active,1,Active,1,1.0,1,,0,42.5,1,1.0,Call,1,1,1,1,1,1,42.5,0.0,1.0,0,0,1.0,Call,1,1.0
ICE,"2,5-Furandione",108-31-6,1.0,1.0,1.0,1.0,0.0,0,0,71.75,1,Active,1,,0,Active,1,Active,1,1.0,1,,0,0.16,1,1.0,Call,1,1,1,1,1,1,0.16,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Methyl methacrylate,80-62-6,1.0,1.0,1.0,1.0,0.0,0,0,26.75,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,90.0,1,1.0,Call,1,1,1,1,1,1,90.0,1.0,1.0,0,0,1.0,Call,1,0.0
